2d statistical,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
115,0.249905,0.249069,0.2496,0.249981,0.2496,0.249905,0.249752,0.249752,0.250057,0.249296,0.249448,0.24922,0.245339,0.234724,0.210642,0.180716,0.128339,0.0835139,0.0439525,0.0200472,0.00615759,0.00111448,0.000177195,1.14E-05,2.86E-07,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.55E-07,2.22E-06,2.63E-05,0.000185588,0.00117895,0.0049464,0.0159032,0.0371278,0.0742623,0.11792,0.16338,0.202619,0.227932,0.242435,0.248163,0.249676,0.250746,0.250286,0.249905,0.249069
114,0.2496,0.250057,0.250363,0.250439,0.249676,0.249905,0.249905,0.250134,0.249296,0.250363,0.249981,0.248389,0.244242,0.232262,0.207599,0.175716,0.121812,0.0772236,0.0405518,0.0173032,0.00496834,0.00107347,0.000135615,4.01E-06,1.49E-07,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,2.98E-08,1.17E-06,2.52E-05,0.000157931,0.000898375,0.00402304,0.0130969,0.035246,0.0665249,0.108862,0.157566,0.197967,0.226045,0.24115,0.248993,0.249828,0.25021,0.25021,0.25021,0.25021
113,0.249981,0.250746,0.249752,0.249905,0.249448,0.250363,0.25021,0.250134,0.249828,0.249448,0.249981,0.248993,0.243733,0.231802,0.205362,0.168211,0.119957,0.0765238,0.0377541,0.0165072,0.00457942,0.000907149,0.000110819,5.08E-06,4.77E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,2.38E-08,9.54E-07,1.39E-05,0.000150301,0.000761425,0.00366464,0.011784,0.0316729,0.0608699,0.106222,0.156125,0.195417,0.224496,0.240867,0.247788,0.249069,0.2496,0.250286,0.250593,0.250439
112,0.249905,0.249372,0.250057,0.250669,0.250057,0.2496,0.2496,0.250363,0.249905,0.249372,0.250057,0.248013,0.243444,0.22998,0.204643,0.165526,0.115314,0.0680445,0.0351628,0.0145823,0.00401694,0.000693332,9.46E-05,3.03E-06,8.34E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,4.17E-08,6.44E-07,1.14E-05,9.77E-05,0.000592432,0.00329519,0.0115345,0.0299728,0.0597119,0.101097,0.151814,0.191937,0.221342,0.24009,0.248088,0.248993,0.249905,0.249752,0.250134,0.250286
111,0.249524,0.25021,0.250669,0.249981,0.25021,0.250134,0.249981,0.250439,0.250134,0.2509,0.249676,0.246892,0.242005,0.227426,0.200095,0.160783,0.110926,0.0664709,0.0322058,0.0134128,0.00355421,0.000624666,6.20E-05,2.69E-06,2.98E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,3.64E-07,7.82E-06,7.95E-05,0.000541886,0.00277276,0.00930171,0.0268701,0.0543696,0.09846,0.144784,0.187414,0.217869,0.238691,0.246669,0.249145,0.250516,0.249372,0.249676,0.249676
110,0.249676,0.249828,0.249981,0.2496,0.248615,0.249676,0.249828,0.249981,0.249905,0.250134,0.249448,0.246076,0.242077,0.224928,0.19537,0.154593,0.104916,0.0626865,0.0296067,0.0116995,0.00314508,0.00049115,6.31E-05,1.86E-06,1.79E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,2.74E-07,4.39E-06,5.84E-05,0.000382811,0.00235866,0.00802148,0.0247931,0.0502507,0.0949783,0.139199,0.180637,0.217233,0.234994,0.247041,0.248842,0.249752,0.250593,0.249296,0.248088
109,0.250057,0.250439,0.249905,0.250977,0.249752,0.249524,0.249296,0.249752,0.249981,0.25021,0.248918,0.246224,0.239949,0.222908,0.19325,0.148619,0.102835,0.0587231,0.0271875,0.0105694,0.00277104,0.000499542,5.13E-05,1.38E-06,2.38E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.55E-07,3.62E-06,4.62E-05,0.000320058,0.00210365,0.00746529,0.0222327,0.0485272,0.0896266,0.138376,0.180239,0.216202,0.235061,0.24652,0.249296,0.250516,0.250286,0.250134,0.250134
108,0.249981,0.250134,0.248993,0.250286,0.250286,0.250439,0.249676,0.25021,0.250669,0.250516,0.2496,0.247115,0.239529,0.221223,0.188579,0.146519,0.0946928,0.0548245,0.0256847,0.00971485,0.00238041,0.000379187,3.15E-05,9.78E-07,1.19E-08,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.07E-07,2.31E-06,3.53E-05,0.00027657,0.00154364,0.00624533,0.019837,0.0448673,0.0829137,0.129659,0.173557,0.210156,0.234321,0.244826,0.249145,0.249828,0.250286,0.249676,0.250286
107,0.249296,0.250363,0.249752,0.249981,0.25021,0.250286,0.25021,0.249981,0.250057,0.248993,0.24922,0.246002,0.23635,0.217753,0.186094,0.142023,0.0910309,0.0504954,0.0237487,0.00887694,0.0020903,0.000296979,3.01E-05,8.34E-07,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,4.77E-08,1.72E-06,2.35E-05,0.000201991,0.00133326,0.00596246,0.0189873,0.0409266,0.0766527,0.123297,0.171163,0.207863,0.232658,0.244534,0.248163,0.249296,0.249905,0.250363,0.250134
106,0.249828,0.250134,0.248766,0.250057,0.249524,0.25021,0.249828,0.250363,0.250516,0.2496,0.248465,0.245486,0.236691,0.216659,0.183345,0.134536,0.086476,0.0467279,0.021694,0.00795796,0.00171149,0.000239757,2.17E-05,7.87E-07,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,1.79E-08,9.78E-07,1.98E-05,0.000150874,0.001252,0.00520237,0.0162889,0.0367844,0.0748185,0.119085,0.166332,0.203222,0.231344,0.243154,0.247938,0.25021,0.249828,0.249828,0.250746
